term,driver,lag_months,coef,std_err,p_value,ci_low,ci_high
const,,,-0.21446480982718497,0.11372607707488082,0.05932170507407869,-0.4373638249969777,0.008434205342607748
brent_l0,brent,0.0,-0.011175621304379955,0.05125551538317697,0.8273999410629962,-0.11163458546444552,0.08928334285568562
brent_l1,brent,1.0,0.005840164284302304,0.05944432680412166,0.921736997098314,-0.11066857533700512,0.12234890390560972
brent_l2,brent,2.0,0.0385220993357301,0.05162973147654589,0.4555934770258736,-0.06267031488977383,0.13971451356123404
brent_l3,brent,3.0,0.04078464573387512,0.045152759153113516,0.3663883376666428,-0.04771313600883864,0.12928242747658888
brent_l4,brent,4.0,-0.056885134106748766,0.053957792501851336,0.2917673594860537,-0.16264046409566277,0.048870195882165235
brent_l5,brent,5.0,0.04120098454153908,0.047299577424936595,0.38371891565256366,-0.05150448369530044,0.1339064527783786
brent_l6,brent,6.0,0.026039357409399885,0.04255667043562143,0.5406205458846114,-0.05737018394635861,0.10944889876515838
gas_l0,gas,0.0,-0.0400745714544683,0.018027445549066497,0.026217445816597674,-0.07540771546389553,-0.004741427445041066
gas_l1,gas,1.0,0.02259936351177586,0.016982378598206224,0.18327006017315517,-0.010685486912532152,0.055884213936083865
gas_l2,gas,2.0,0.02555882548880381,0.02081855312213381,0.21956162997466233,-0.015244788840812352,0.06636243981841997
gas_l3,gas,3.0,0.0038494941439529574,0.018913970178288598,0.8387235354147853,-0.03322120621015732,0.04092019449806323
gas_l4,gas,4.0,0.030431501933032866,0.022738117470548113,0.18078319498521467,-0.014134389385482428,0.07499739325154817
gas_l5,gas,5.0,0.03114843346098741,0.016732446095423528,0.06266529520130751,-0.0016465582593005595,0.06394342518127538
gas_l6,gas,6.0,0.0029525732859382557,0.018906128455671398,0.8758988894745862,-0.03410275757426555,0.04000790414614207
ppi_l0,ppi,0.0,0.09317469156411289,0.1444314540818192,0.5188535878789772,-0.18990575667100335,0.37625513979922914
ppi_l1,ppi,1.0,0.18519174858995202,0.15713549480368125,0.23857814366750973,-0.12278816191814401,0.49317165909804805
ppi_l2,ppi,2.0,-0.18079856994972837,0.1806622415951044,0.3169454617501134,-0.5348900568424071,0.17329291694295035
ppi_l3,ppi,3.0,0.09594911970555837,0.17481644532821822,0.5831040214944154,-0.24668481704306472,0.43858305645418144
ppi_l4,ppi,4.0,-0.35647560143964685,0.18832054787129454,0.05836860094665448,-0.7255770928162353,0.012625889936941581
ppi_l5,ppi,5.0,0.09800627066288047,0.17746857241365793,0.5807799710888578,-0.24982573965562765,0.4458382809813886
ppi_l6,ppi,6.0,0.13928942313260223,0.22492358196770862,0.5357355860310052,-0.3015526967978494,0.5801315430630538
capacity_util_pct,capacity,,0.002695926924709513,0.001414781484469231,0.05670952617394368,-7.699383084429356e-05,0.005468847680263319
